id,name,urbanCenter,capital,pop2015Cat,lat,lon
2097,Laghouat,1,0,>100k,33.8,2.86
2099,Ain Oussara,1,0,>100k,35.44,2.91
2100,Parakou,1,0,>250k,9.35,2.62
2101,Porto-Novo,1,0,>500k,6.51,2.63
2104,Valenciennes,1,0,>100k,50.36,3.51
2112,Ghent,1,0,>250k,51.09,3.75
2116,Djelfa,1,0,>250k,34.67,3.26
2121,Kandi,1,0,>100k,11.13,2.94
2123,Rotterdam [The Hague],1,0,>500k,51.91,4.48
2125,Lagos,1,0,>500k,6.57,3.3
2127,Reims,1,0,>100k,49.25,4.03
2128,Messaad,1,0,>100k,34.16,3.5
2130,Montpellier,1,0,>250k,43.62,3.88
2131,Troyes,1,0,>100k,48.3,4.07
2132,Dosso,1,0,>250k,13.05,3.2
2133,Antwerp,1,0,>500k,51.22,4.4
2135,Brussels,1,1,>500k,50.84,4.33
2138,Leiden,1,0,>250k,52.19,4.48
2139,Abeokuta,1,0,>500k,7.16,3.34
2142,Charleroi,1,0,>250k,50.43,4.44
2143,Ghardaia,1,0,>100k,32.49,3.67
2144,Zoetermeer,1,0,>100k,52.03,4.5
2148,Iwere,1,0,>100k,8.03,3.35
2150,Malanville,1,0,>100k,11.86,3.39
2151,Saki,1,0,>250k,8.67,3.4
2152,Heemskerk,1,0,>100k,52.49,4.65
2154,Bergen,1,0,>100k,60.34,5.31
2155,Haarlem,1,0,>100k,52.38,4.64
2157,Ogunrun-Ori,1,0,>100k,6.78,3.43
2159,Gaya,1,0,>100k,11.89,3.45
2163,Dordrecht,1,0,>100k,51.82,4.68
2165,Ikorodu,1,0,>500k,6.62,3.53
2166,Alkmaar,1,0,>100k,52.65,4.79
2167,Amsterdam,1,1,>500k,52.35,4.91
2168,Saint-Étienne,1,0,>100k,45.44,4.39
2169,Breda,1,0,>100k,51.59,4.77
2172,Nimes,1,0,>100k,43.83,4.35
2173,Iseyin,1,0,>250k,7.97,3.59
2175,Sagamu,1,0,>100k,6.84,3.64
2177,Bou Saada,1,0,>100k,35.23,4.17
2181,Utrecht,1,0,>250k,52.08,5.08
2183,Tilburg,1,0,>100k,51.56,5.06
2184,Igboho,1,0,>100k,8.84,3.76
2185,Stavanger,1,0,>100k,58.93,5.72
2186,Lyon,1,0,>500k,45.75,4.86
2187,Almere,1,0,>100k,52.38,5.24
2189,Ibadan,1,0,>500k,7.39,3.92
2190,Kishi,1,0,>100k,9.08,3.85
2191,Oyo,1,0,>500k,7.83,3.93
2192,Ijebu-Ode,1,0,>250k,6.82,3.93
2193,Ago-Iwoye,1,0,>100k,6.95,3.92
2194,s-Hertogenbosch,1,0,>100k,51.71,5.32
2197,Dijon,1,0,>100k,47.32,5.04
2199,Amersfoort,1,0,>100k,52.17,5.39
2200,Epe,1,0,>100k,6.6,3.98
2201,Dogondoutchi,1,0,>100k,13.64,4.03
2203,M'Sila,1,0,>100k,35.71,4.53
2204,Ijebu-Igbo,1,0,>100k,6.97,4
2205,Eindhoven,1,0,>250k,51.44,5.47
2208,Liège,1,0,>250k,50.64,5.56
2211,Birnin Kebbi,1,0,>100k,12.45,4.21
2212,Iwo,1,0,>100k,7.64,4.18
2213,Bordj Bou Arreridjj,1,0,>100k,36.08,4.76
2214,Ikire,1,0,>100k,7.35,4.19
2216,Ogbomosho,1,0,>250k,8.13,4.24
2219,Nijmegen,1,0,>100k,51.83,5.81
2220,Maastricht,1,0,>100k,50.85,5.7
2222,Ejigbo,1,0,>100k,7.9,4.31
2224,Jega,1,0,>100k,12.22,4.37
2226,Arnhem,1,0,>100k,51.97,5.93
2228,Marseille,1,0,>500k,43.3,5.41
2229,Apeldoorn,1,0,>100k,52.21,5.97
2230,Bejaia,1,0,>100k,36.75,5.06
2232,Ede,1,0,>100k,7.71,4.45
2233,Zwolle,1,0,>100k,52.51,6.09
2235,Heerlen,1,0,>250k,50.89,6.04
2236,Erin-osun,1,0,>250k,7.84,4.49
2237,Koko,1,0,>100k,11.43,4.52
2238,Argungu,1,0,>100k,12.75,4.54
2239,New Bussa,1,0,>100k,9.88,4.51
2240,Ilorin,1,0,>500k,8.48,4.56
2241,Osogbo,1,0,>250k,7.78,4.56
2243,Ife,1,0,>250k,7.49,4.56
2245,Aachen,1,0,>100k,50.79,6.1
2246,Grenoble,1,0,>250k,45.19,5.73
2253,Luxembourg,1,1,>100k,49.61,6.13
2254,Iragbiji,1,0,>100k,7.91,4.68
2257,Ijagbo Offa,1,0,>100k,8.15,4.72
2258,Besançon,1,0,>100k,47.24,6.01
2260,Ilesa,1,0,>250k,7.63,4.75
2261,Setif,1,0,>250k,36.19,5.41
2263,Metz,1,0,>100k,49.12,6.18
2265,Toulon,1,0,>250k,43.12,5.91
2266,Barika,1,0,>100k,35.39,5.37
2267,Lerinin,1,0,>100k,6.37,4.78
2268,Nancy,1,0,>100k,48.68,6.19
2269,Groningen,1,0,>100k,53.22,6.58
2270,Okitipupa,1,0,>100k,6.5,4.78
2272,Mönchengladbach,1,0,>100k,51.18,6.44
2273,Ondo,1,0,>250k,7.09,4.83
2274,Ouargla,1,0,>100k,31.95,5.34
2275,Geneva,1,0,>250k,46.21,6.15
2276,Dortmund,1,0,>500k,51.49,7.07
2278,Ebute Irele,1,0,>100k,6.49,4.87
2280,Annecy,1,0,>100k,45.91,6.11
2281,Ile Oluji,1,0,>100k,7.21,4.87
2282,Ore,1,0,>100k,6.75,4.88
2284,Effon Alaiye,1,0,>100k,7.67,4.92
2288,Dusseldorf,1,0,>500k,51.22,6.77
2291,El Eulma,1,0,>100k,36.15,5.69
2293,Jijel,1,0,>100k,36.81,5.76
2294,Mokwa,1,0,>100k,9.3,5.06
2296,Aramoko-Ekiti,1,0,>100k,7.71,5.04
2298,Enschede,1,0,>100k,52.22,6.89
2301,Biskra,1,0,>100k,34.84,5.73
2302,Gummi,1,0,>100k,12.14,5.12
2303,Ijero-Ekiti,1,0,>100k,7.81,5.07
2306,Otun,1,0,>100k,7.99,5.11
2310,Cologne,1,0,>500k,50.93,6.98
2311,Sokoto,1,0,>500k,13.04,5.24
2312,Akure,1,0,>500k,7.25,5.19
2314,Lausanne,1,0,>250k,46.53,6.6
2315,Tahoua,1,0,>500k,14.89,5.26
2317,Wuppertal,1,0,>500k,51.22,7.1
2318,Birni N'Konni,1,0,>100k,13.79,5.25
2319,Ado Ekiti,1,0,>250k,7.62,5.23
2320,Zuru,1,0,>100k,11.43,5.24
2321,Ikerre,1,0,>100k,7.5,5.23
2323,Tuga Nama,1,0,>100k,13.73,5.3
2325,Saarbruecken,1,0,>100k,49.24,6.95
2329,Bonn,1,0,>250k,50.74,7.13
2332,Wurno,1,0,>100k,13.29,5.42
2337,Batna,1,0,>250k,35.55,6.17
2340,Kontagora,1,0,>100k,10.4,5.47
2341,Ise,1,0,>100k,7.46,5.43
2345,Touggourt,1,0,>100k,33.11,6.07
2348,Emure,1,0,>100k,7.44,5.46
2349,Ikole,1,0,>100k,7.79,5.51
2351,Egbe,1,0,>100k,8.22,5.51
2353,Hagen,1,0,>100k,51.37,7.54
2354,Benin City,1,0,>500k,6.34,5.62
2355,Owo,1,0,>100k,7.2,5.59
2359,Münster,1,0,>100k,51.95,7.63
2360,Sapele,1,0,>100k,5.88,5.68
2363,Warri,1,0,>500k,5.56,5.76
2365,Tchin-Tabaradene,1,0,>100k,15.9,5.8
2367,Mulhouse,1,0,>100k,47.76,7.34
2368,Nice,1,0,>500k,43.65,7.14
2369,Koblenz,1,0,>100k,50.37,7.58
2371,Omuo-Obadore,1,0,>100k,7.75,5.73
2373,Igbe,1,0,>250k,7.54,5.77
2374,Akugba,1,0,>100k,7.46,5.75
2377,Constantine,1,0,>500k,36.37,6.62
2378,Ali Mendjeli,1,0,>100k,36.26,6.59
